AnimalID 1,ET1,ET2,ET3,MRID,Sex,MR22f,MR22w,S22,MR23,S23,MR24,S24,MR25,Notes,,,,,,,,,,,,
2C-25-M5,1929,,,1929,M,,,,,,,,2C,,,,,,,,,,,,,
3A-22-F1,292,,,292,F,3A,3A,,,,,,,,,,,,,,,,,,,
3A-22-F2,1871,,,1871,F,3A,3A,,,,,,,,,,,,,,,,,,,
3A-22-F3,295,,,295,F,3A,,,3A,,,,,,,,,,,,,,,,,
3A-22-F4,402,,,402,F,3A,3A,,3A,3A,,,,,,,,,,,,,,,,
3A-22-F5,389,,,389,F,3A,,,3A,3A,,,,,,,,,,,,,,,,
3A-22-F6,432,,,432,F,3A,,,3A,3A,3A,,,,,,,,,,,,,,,
3A-22-F7,436,,,436,F,3A,,,,,,,,,,,,,,,,,,,,
3A-22-F8,441,,,441,F,,3A,,3A,,,,,,,,,,,,,,,,,
3A-22-F9,1581,,,,F,,3A,3A,,,,,,,,,,,,,,,,,,
3A-22-M1,293,,,293,M,3A,,,,,,,,,,,,,,,,,,,,
3A-22-M2,1872,,,1872,M,3A,,,,,,,,,,,,,,,,,,,,
3A-22-M3,387,,,387,M,3A,3A,3A,,,,,,,,,,,,,,,,,,
3A-22-M4,430,,,430,M,3A,3A,,3A,3A,,,,,,,,,,,,,,,,
3A-22-M5,403,,,403,M,3A,,,3A,,,,,,,,,,,,,,,,,
3A-22-M6,390,,,390,M,3A,,,,,,,,,,,,,,,,,,,,
3A-22-M7,391,,,391,M,3A,,,,,,,,,,,,,,,,,,,,
3A-22-M8,431,1078,,431 / 1078,M,3A,,,3A,,,,,,,,,,,,,,,,,
3A-22-M9,398,,,398,M,3A,,,,,,,,,,,,,,,,,,,,
3A-22-M10,442,,,,M,,3A,,,,,,,,,,,,,,,,,,,
3A-22-M11,1580,,,1580,M,,3A,3A,3A,,,,,,,,,,,,,,,,,
3A-22-M12,954,,,954,M,,,3A,3A,,,,,,,,,,,,,,,,,
3A-22-M13,298,,,298,M,3A,,,,,,,,,,,,,,,,,,,,
3A-23-F1,1006,,,1006,F,,,,3A,,,,,,,,,,,,,,,,,
3A-23-F2,1010,,,1010,F,,,,3A,,,,,,,,,,,,,,,,,
3A-23-F3,1011,,,1011,F,,,,3A,,,,,,,,,,,,,,,,,
3A-23-F4,1702,,,1702,F,,,,3A,,,,,,,,,,,,,,,,,
3A-23-F5,1729,,,1729,F,,,,3A,,,,,,,,,,,,,,,,,
3A-23-F6,1709,,,1709,F,,,,3A,,,,,,,,,,,,,,,,,
3A-23-F7,1076,,,1076,F,,,,3A,,,,,,,,,,,,,,,,,
3A-23-F8,950,1706,,950 / 1706,F,,,,3A,,,,,,,,,,,,,,,,,
3A-23-F9,1711,,,1711,F,,,,3A,,,,,,,,,,,,,,,,,
3A-23-F10,1712,,,1712,F,,,,3A,,,,,,,,,,,,,,,,,
3A-23-F11,1077,,,1077,F,,,,3A,,,,,,,,,,,,,,,,,
3A-23-F12,1080,,,1080,F,,,,3A,,,,,,,,,,,,,,,,,
3A-23-F13,1715,,,1715,F,,,,3A,,,,,,,,,,,,,,,,,
3A-23-F14,1082,,,1082,F,,,,3A,,,,,,,,,,,,,,,,,
3A-23-F15,1083,,,1083,F,,,,3A,3A,,,,,,,,,,,,,,,,
3A-23-F16,1740,,,1740,F,,,,3A,3A,,,,,,,,,,,,,,,,
3A-23-F17,1741,,,1741,F,,,,3A,,3A,,3A,,,,,,,,,,,,,
3A-23-F18,874,,,,F,,,,,3A,,,,,,,,,,,,,,,,
3A-23-F19,1252,,,,F,,,,,3A,,,,,,,,,,,,,,,,
3A-23-M1,500,,,500,M,,,,3A,3A,,,,,,,,,,,,,,,,
3A-23-M2,1007,,,1007,M,,,,3A,,3A,,,,,,,,,,,,,,,
3A-23-M3,1726,,,1726,M,,,,3A,,3A,,,,,,,,,,,,,,,
3A-23-M4,1008,,,1008,M,,,,3A,,,,,,,,,,,,,,,,,
3A-23-M5,1701,,,1701,M,,,,3A,3A,,,,,,,,,,,,,,,,
3A-23-M6,1009,,,1009,M,,,,3A,,3A,,,,,,,,,,,,,,,
3A-23-M7,1727,,,1727,M,,,,3A,,,,,,,,,,,,,,,,,
3A-23-M8,1012,,,1012,M,,,,3A,,3A,,,,,,,,,,,,,,,
3A-23-M9,1728,,,1728,M,,,,3A,,3A,,3A,,,,,,,,,,,,,
3A-23-M10,1703,,,1703,M,,,,3A,,,,,,,,,,,,,,,,,
3A-23-M11,1013,,,1013,M,,,,3A,,,,,,,,,,,,,,,,,
3A-23-M12,1704,,,1704,M,,,,3A,,,,,,,,,,,,,,,,,
3A-23-M13,1730,,,1730,M,,,,3A,3A,,,,,,,,,,,,,,,,
3A-23-M14,1713,,,1713,M,,,,3A,,,,,,,,,,,,,,,,,
3A-23-M15,1714,,,1714,M,,,,3A,,,,,,,,,,,,,,,,,
3A-23-M16,1079,,,1079,M,,,,3A,,,,,,,,,,,,,,,,,
3A-23-M17,1716,,,1716,M,,,,3A,,,,,,,,,,,,,,,,,
3A-23-M18,1081,,,1081,M,,,,3A,,,,,,,,,,,,,,,,,
3A-23-M19,875,,,,M,,,,,3A,,,,,,,,,,,,,,,,
